Geneid	Chr	Start	End	Strand	Length	SRR20959676_C	SRR20959677_C	SRR20959678_C	SRR20959679_C	SRR20959680_A	SRR20959681_A	SRR20959682_A
ENSB:hsDzOLUPE0PE94g	Chromosome	708964	709968	+	1005	323	48	120	194	350	160	619
ENSB:DQOXsqyOrDhxNaw	Chromosome	709965	710981	+	1017	220	44	28	92	196	136	404
ENSB:5nDVkYH8j5uR7jg	Chromosome	711215	712183	+	969	275	54	122	248	133	86	451
ENSB:neYkTxOV-EYRBwz	Chromosome	712225	712809	+	585	110	73	133	86	104	208	163
ENSB:bv2jJaUoWEj2vfl	Chromosome	712802	713164	+	363	510	56	177	350	387	438	619
ENSB:bMyxOEEfXVoHBd9	Chromosome	713280	713777	+	498	2038	807	1355	888	1190	1144	2605
ENSB:8g3TtTrPAGn4ydw	Chromosome	714233	715300	+	1068	180	72	14	85	153	160	80
ENSB:nHsueU3DSnI6Rdv	Chromosome	715451	716494	+	1044	15	8	4	14	14	5	45
ENSB:kL3JtgOxec4Gze7	Chromosome	716823	717251	+	429	0	1	44	0	2	0	4
ENSB:1D54HsVn7monLCG	Chromosome	717460	717966	-	507	434	104	246	82	226	160	729
ENSB:AQxD-SvQ36x-gvD	Chromosome	718079	719002	+	924	41	6	33	20	12	35	18
ENSB:nOEAtzeyarzu1my	Chromosome	719018	719692	+	675	30	7	27	0	25	19	4
ENSB:BcaMU2aQxFW8Phm	Chromosome	719685	720725	+	1041	119	84	6	29	96	142	190
ENSB:_rVNLi84KXbGNIS	Chromosome	720869	721630	+	762	150	79	0	39	153	128	97
ENSB:Y6yoskGBwOcyZFD	Chromosome	721620	723509	+	1890	400	374	4	144	526	418	190
ENSB:h3JqwoIzh7o3rKi	Chromosome	724234	724851	+	618	69	35	107	48	48	27	150
ENSB:ObN3W7_wwSyWy_m	Chromosome	724867	725874	+	1008	92	23	209	92	58	30	540
ENSB:k6hXneVdP3UHPTD	Chromosome	726462	727259	-	798	1231	101	450	1410	1072	534	5508
ENSB:9_cBiPTin5tanI6	Chromosome	727620	728264	+	645	5	36	159	4	11	14	55
ENSB:TYETaUE3pfzVszR	Chromosome	728961	730940	+	1980	7	0	23	0	1	1	0
ENSB:HZJhByAOixOeBKi	Chromosome	730937	731110	+	174	0	0	0	0	0	1	0
ENSB:H-8Le5hw7zOU0yU	Chromosome	731190	731615	+	426	11	10	10	3	10	0	4
ENSB:yXdtEgIp1lYgFRQ	Chromosome	731805	732521	+	717	623	120	52	357	264	280	665
ENSB:j-zhbxCKWKCkg3f	Chromosome	732521	732994	+	474	88	12	26	68	45	77	168
ENSB:zAIDSmf8GgfYZ8F	Chromosome	733347	733991	+	645	24	40	18	14	12	38	44
ENSB:cbLfTPHBcAYokdV	Chromosome	734107	734973	+	867	134	74	10	24	73	42	511
ENSB:GnxNjRD3OdYdwu2	Chromosome	735243	736463	+	1221	410	118	218	37	118	229	429
ENSB:6_Y8-ZxmDCXJ3il	Chromosome	736460	736948	+	489	89	47	85	19	58	42	27
ENSB:oN1-dsdA0l9-DFk	Chromosome	737047	737736	-	690	1	0	0	0	1	5	4
ENSB:Kwy_C2fu9IvyCj5	Chromosome	737863	738306	+	444	4	0	0	6	0	1	0
ENSB:LxQrvk6TK49X6k-	Chromosome	738373	738768	+	396	2	0	0	0	0	0	0
ENSB:8xPfK3ESiCBLs_R	Chromosome	738906	739205	+	300	3	3	0	6	0	5	0
ENSB:ZTKt7MUXnGCg6BF	Chromosome	739285	739827	+	543	2	0	0	4	0	2	2
ENSB:TMO_DBZCePioCKj	Chromosome	739923	740489	-	567	56	2	12	16	14	22	135
ENSB:UsnahX0f-kTI1zv	Chromosome	740491	740949	-	459	4	0	24	8	1	4	34
ENSB:eI-TZBkvDlEgl-M	Chromosome	740952	741635	-	684	14	2	47	0	13	4	30
ENSB:qSTA0lpu_O1R8gj	Chromosome	741807	742682	-	876	32	4	71	6	11	18	45
ENSB:U_2SpERY18gGdon	Chromosome	742895	744526	+	1632	245	82	231	155	158	114	1205
ENSB:w--X-GNqUtY1TJ8	Chromosome	744523	746196	+	1674	879	401	536	550	544	661	1192
ENSB:wfRmWRuDlSh3nDs	Chromosome	746323	746766	-	444	23	7	41	10	34	15	505
ENSB:tK37wzlV3nBEezE	Chromosome	746993	747919	+	927	14	24	15	7	26	8	49
ENSB:BplXW5QYENmninR	Chromosome	748022	748930	+	909	44	2	18	2	21	14	25
ENSB:3ep1inV095LLNI4	Chromosome	748965	749252	+	288	4	0	0	0	0	0	0
ENSB:RvWYsZS6K_WNPP8	Chromosome	749535	751088	+	1554	427	84	149	437	179	215	60
ENSB:hC1PJcako44eDcl	Chromosome	751174	752547	+	1374	835	90	44	495	413	201	5
ENSB:9EtHly1_Not7pWs	Chromosome	752702	752986	-	285	3	4	8	1	24	6	0
ENSB:3ZbLVbbbyUXRB2d	Chromosome	752983	753600	-	618	3	4	20	7	18	10	4
ENSB:km2aFxQM4FEWa8V	Chromosome	753786	754208	-	423	16	9	22	4	18	4	2
ENSB:8qqxBh50g-9ZDfh	Chromosome	754417	755583	+	1167	704	190	113	340	656	310	163
ENSB:Jl5WUsi2S6XLz-l	Chromosome	755864	756328	+	465	13	8	15	18	9	21	28
ENSB:wSlErVMzgkXxJP8	Chromosome	756502	756984	+	483	0	0	0	0	0	0	4
ENSB:XTmIMtFFmRCUszz	Chromosome	757234	757998	+	765	40	14	10	16	19	23	26
ENSB:PJOPgEfDIKwtzRI	Chromosome	757995	758915	+	921	374	22	166	158	100	208	162
ENSB:Ujsrcn-GdePJHcP	Chromosome	758921	760879	+	1959	981	113	258	548	360	428	370
ENSB:JrTUESnM7Vqr7kP	Chromosome	761187	762368	+	1182	18	2	34	13	0	22	33
ENSB:JR6FXPup-1s3rOz	Chromosome	762589	763938	+	1350	87	37	185	57	114	54	480
ENSB:14NNm8xS7NfOiHt	Chromosome	764160	764999	+	840	28	2	9	2	15	21	118
ENSB:DNWSfKQuR2wnnn8	Chromosome	765131	766114	+	984	203	78	62	36	124	132	178
ENSB:gH1o-lKnZoiM0bo	Chromosome	766186	767241	-	1056	70	20	102	20	24	106	696
ENSB:TnRffUkEurPLlxN	Chromosome	767241	767927	-	687	113	48	170	65	70	185	1300
ENSB:Rv5ZEfK5DLb7nfZ	Chromosome	767902	768375	-	474	211	28	239	72	89	182	817
ENSB:RTu-K9_PX4qjE-E	Chromosome	768717	769157	-	441	10	4	30	12	4	43	58
ENSB:4tsLJOT0DdXW-Rp	Chromosome	769437	770021	-	585	2	26	14	2	10	4	2
ENSB:yeCW1Mi9iPTidz3	Chromosome	770120	770833	-	714	40	7	0	21	17	23	30
ENSB:5IBCKu9TgXftVK5	Chromosome	770837	771256	-	420	28	6	56	9	16	18	27
ENSB:JASH6lp5ARA0fkN	Chromosome	771258	771926	-	669	14	0	14	3	16	9	11
ENSB:edi6Qz5RjTYE8P-	Chromosome	772277	772870	+	594	11	3	0	2	2	9	4
ENSB:DOTI73-HbnmfyaA	Chromosome	772854	774005	+	1152	22	28	2	22	41	14	5
ENSB:NnHbwj0ysihSv5X	Chromosome	774005	774613	+	609	8	0	8	4	16	0	1
ENSB:TaNS21xMM4LFofl	Chromosome	774973	775683	+	711	7	2	12	5	11	12	2
ENSB:Ld1XPwUSfLDOK6y	Chromosome	775667	776671	+	1005	30	3	11	43	47	28	8
ENSB:b0H9mI_qS_EcR4_	Chromosome	777145	779085	+	1941	1580	1499	2468	2157	1537	1696	6429
ENSB:bZLppf8MScrMRlh	Chromosome	779362	781239	+	1878	216	64	56	30	133	86	118
ENSB:9nth_1XMxkgGs3i	Chromosome	781251	783032	+	1782	403	199	240	74	368	410	855
ENSB:B70KN3WBcmyhvTC	Chromosome	783254	784231	+	978	40	19	14	20	39	14	125
ENSB:IZwc6gGar14C2zA	Chromosome	784224	785738	+	1515	484	397	214	435	673	265	2212
ENSB:vH5mupyVAQAmC1U	Chromosome	785978	787036	+	1059	382	25	120	59	67	34	90
ENSB:kBtD7ygTdx6gKxf	Chromosome	787387	787929	+	543	100	14	16	14	60	21	112
ENSB:WwQeyJT6XnBdx_d	Chromosome	788553	789470	-	918	544	54	260	32	64	426	114
ENSB:lrgXs7aGgoDiHlm	Chromosome	789740	791245	-	1506	109	17	24	46	60	52	203
ENSB:iB4-WpjpGXtBQoo	Chromosome	791586	792086	-	501	4	4	10	2	2	4	52
ENSB:yQw6DXEST_zbdWJ	Chromosome	792106	792972	-	867	13	18	4	4	14	4	38
ENSB:7rhBWZiOl4Hodd6	Chromosome	793773	794171	+	399	176	101	115	64	218	79	290
ENSB:_y_PfvqUb4Hibqi	Chromosome	794134	796239	+	2106	2069	460	967	579	1635	779	3192
ENSB:Hp4lZWvd58r3qXz	Chromosome	796357	797328	+	972	22	1	14	6	12	15	193
ENSB:zpWT2rOfoKhTcib	Chromosome	797994	799007	+	1014	11	0	17	3	7	2	22
ENSB:V7MeexrxBYplyKb	Chromosome	798994	799950	+	957	1	0	2	4	4	1	2
ENSB:B8KDSW3Ms1RPPxL	Chromosome	799947	800708	+	762	0	0	2	9	1	0	16
ENSB:qXlCpuWnoUBlA8R	Chromosome	800827	801855	+	1029	1	0	8	2	0	6	37
ENSB:qOP1No1BUhoOiB5	Chromosome	802172	802486	-	315	47	23	13	38	47	31	152
ENSB:E1ct_v8vF5Yntgx	Chromosome	802504	803427	-	924	94	9	79	133	96	79	307
ENSB:cJwlFBr9tbHDgkC	Chromosome	803554	804072	-	519	1	0	0	0	4	2	1
ENSB:acto3ag9zoPjaQ6	Chromosome	804192	805070	+	879	3	0	6	6	8	4	4
ENSB:rWiJ1Y_AJQWRZBW	Chromosome	805224	805544	+	321	129	52	26	13	56	113	3
ENSB:05-v0bWxpGfAXjg	Chromosome	805969	807093	+	1125	3	6	6	0	6	12	18
ENSB:ZZ1LjOh1k8Pvopv	Chromosome	807282	808508	-	1227	653	86	154	216	214	225	550
ENSB:1b_KFSrkgAGkcK2	Chromosome	808522	809016	-	495	78	0	52	29	38	65	111
ENSB:gj2AYq9gwCsEaWd	Chromosome	809034	809795	-	762	44	4	23	31	34	34	76
ENSB:tKAWioYd_97GUuy	Chromosome	809991	811061	-	1071	21	26	137	24	31	36	78
ENSB:D6oNRjmq-QgcXpd	Chromosome	811379	812434	+	1056	47	44	96	48	60	92	374
ENSB:SaZcL0UKzNjN-W1	Chromosome	812604	813245	-	642	74	4	14	4	35	12	138
ENSB:il9l72XcZtnvp9b	Chromosome	813389	814255	+	867	47	2	26	10	8	14	130
ENSB:ayXJeyP5gz8-yCi	Chromosome	814619	815701	+	1083	27	14	3	7	40	39	108
ENSB:0jQ6H4Dz9CezFMA	Chromosome	815694	816368	+	675	16	2	5	1	4	22	26
ENSB:0IXcxoHbsGToEWs	Chromosome	816429	817001	+	573	11	0	6	16	4	8	258
ENSB:Zows-FEnz5xU42R	Chromosome	817415	819946	+	2532	872	218	1514	549	536	600	3426
ENSB:Dnc2cPPSziJaZvm	Chromosome	820379	821371	+	993	53	12	44	28	42	10	177
ENSB:jFYO0W5NBduAuWe	Chromosome	821780	822619	+	840	151	5	96	20	8	0	361
ENSB:iv0FU9dt4CbHTUp	Chromosome	822793	823443	+	651	1	1	0	2	3	3	2
ENSB:l7YNDvsYggO-3SV	Chromosome	823440	823676	+	237	0	0	0	1	0	0	1
ENSB:S5rHcyGuaGZt3wu	Chromosome	823945	825930	+	1986	255	35	64	111	93	87	195
ENSB:in1CcJHgt-Bfnyj	Chromosome	825938	828784	+	2847	3599	784	767	1558	1481	1114	1532
ENSB:oWnDiuOOwj_xdoY	Chromosome	829446	830378	+	933	111	10	4	98	76	88	373
ENSB:WgaFrSxaahGQ7qX	Chromosome	830384	831223	+	840	40	8	46	10	38	72	126
ENSB:8Nhl9moj8qLjIUx	Chromosome	831231	831716	+	486	65	4	29	48	17	22	126
ENSB:95EazeoI03As9fD	Chromosome	831724	833163	+	1440	325	104	300	127	223	209	217
ENSB:VuSRxyTFphO2Kal	Chromosome	833230	834165	+	936	2039	242	1470	763	1837	1258	2716
ENSB:HV1fIkwwYaiNoLD	Chromosome	835045	835956	+	912	9	24	52	6	30	18	28
ENSB:Kgxy-fycNBoT2OD	Chromosome	835953	836948	+	996	102	39	126	87	82	88	139
ENSB:njVxAa4ul5i7QKW	Chromosome	837058	838002	+	945	319	50	62	160	169	154	246
ENSB:973QuN5vVDg0IJI	Chromosome	838576	839163	+	588	80	4	54	27	70	2	168
ENSB:zxmzIK5SLlkLMSx	Chromosome	839406	840275	-	870	169	24	79	108	228	44	245
ENSB:7kJQOZsaRVQpkOr	Chromosome	841010	841639	+	630	26	1	25	22	28	0	24
ENSB:j_ir39CRpkv7Day	Chromosome	842281	843294	+	1014	3306	217	982	1758	3153	2025	2133
ENSB:QRGP-YbXoktbaxQ	Chromosome	843347	844357	+	1011	4475	287	1197	2830	2962	1641	1849
ENSB:IsEgNezXK0ZAyVR	Chromosome	844496	845686	+	1191	4641	226	646	2844	2431	2016	826
ENSB:yFFL48gRh6BewXU	Chromosome	845808	846569	+	762	9292	373	898	3298	4006	3096	1797
ENSB:tsCr2deF-csYSnX	Chromosome	846572	848089	+	1518	4089	359	1421	1921	2574	1935	2710
ENSB:Q5p6wvg7nVbQicn	Chromosome	848219	849523	+	1305	6222	424	1205	4258	3885	2239	5897
ENSB:eVEP10N1PUZH92J	Chromosome	849863	850321	+	459	12	16	10	18	12	18	7
ENSB:s35QQx73XaHrrK0	Chromosome	850388	850621	+	234	12	0	29	0	4	2	59
ENSB:a7d-HxdFewsX1k7	Chromosome	850737	851477	+	741	17	12	29	19	23	28	30
ENSB:wTDPVgQxSuZGKdM	Chromosome	851511	853883	+	2373	1956	213	664	507	485	565	1156
ENSB:0aL6ucC4ZInp7m-	Chromosome	853905	854369	+	465	441	70	74	104	152	100	190
ENSB:mRbstDOId2dd7jt	Chromosome	855691	856014	-	324	6	6	0	0	4	0	0
ENSB:YaYnoNPNXeALfD2	Chromosome	856368	857096	-	729	2	1	15	1	5	1	0
ENSB:kN0xah0_qqxcKQg	Chromosome	857695	858138	+	444	3	1	32	2	4	0	0
ENSB:JiLVJiRB48gK0Vt	Chromosome	858355	858885	+	531	1	0	11	0	1	4	22
ENSB:o2s5RRicZM6uWGx	Chromosome	859148	861949	+	2802	90308	6335	1525	42716	60582	43577	11974
ENSB:kHnoeYUqFiT0m2I	Chromosome	862170	863696	+	1527	2	0	1	0	2	2	15
ENSB:s81Ze9C96F68v2A	Chromosome	864047	865069	+	1023	3	0	7	8	0	5	0
ENSB:rk8uDTYSK5gXYKX	Chromosome	865404	865874	+	471	0	0	0	1	1	0	0
ENSB:EIMVnJl-8ZhumQQ	Chromosome	866215	866901	+	687	1	0	0	2	3	0	3
ENSB:_Mh1j7d8vZice9h	Chromosome	867258	867458	+	201	134	40	66	52	73	38	408
ENSB:hmxlnivgNP2IYfR	Chromosome	867954	868172	-	219	0	0	0	0	0	0	0
ENSB:DGs_zCymzHUSZDi	Chromosome	868234	868518	-	285	4	0	2	2	6	0	6
ENSB:BbEPE73RfnzNX_Z	Chromosome	868606	869175	-	570	0	0	1	8	1	2	1
ENSB:VHKOOapOfO0mjFZ	Chromosome	869363	869551	-	189	0	3	26	3	0	5	0
ENSB:D80YrpDawgzFG2V	Chromosome	869580	869840	-	261	0	6	4	1	2	12	1
ENSB:cu120RomQKxbWPE	Chromosome	870181	870384	+	204	44	75	211	45	48	101	72
ENSB:_CBrcParHc4w-F3	Chromosome	870381	870617	-	237	33	47	183	37	46	47	34
ENSB:BEU_JQ-IjZyTMrg	Chromosome	870842	871423	+	582	3	2	2	2	0	4	52
ENSB:BGnkz9Nd-SO1VgP	Chromosome	871496	872113	-	618	2	6	16	12	1	0	11
ENSB:gNavt84OcHi4xay	Chromosome	872268	872762	-	495	60	18	164	54	47	31	938
ENSB:3ej2zEJH4sBoKjf	Chromosome	873161	873583	-	423	15	0	12	6	3	0	2
ENSB:0cIft0gf-iJoJlX	Chromosome	873731	874447	+	717	11	6	0	12	11	4	42
ENSB:kEqde75xRKobDzk	Chromosome	874530	875069	+	540	20	8	16	4	16	18	111
ENSB:p5-SjwkDFg_8UK2	Chromosome	875219	875539	-	321	130	0	10	15	28	24	74
ENSB:EETpanc5HJAZC69	Chromosome	875683	876039	+	357	0	0	10	0	0	1	10
ENSB:tilfyflDiUOpgOf	Chromosome	876197	876577	+	381	210	2	10	85	166	69	75
ENSB:HUkqr2ylxlp9tc3	Chromosome	876641	876754	+	114	0	0	0	0	0	10	11
ENSB:w-KjMRYowgggQcp	Chromosome	876756	877634	+	879	12	0	0	17	36	16	16
ENSB:f54DQBobehdO-pa	Chromosome	878373	878762	+	390	4	0	22	4	4	8	4
ENSB:0ZKvs7M44lr7Lz9	Chromosome	878755	879051	+	297	7	2	28	2	23	7	1
ENSB:QqpmGV2tMez0nNi	Chromosome	879301	880326	+	1026	100	54	57	59	135	24	272
ENSB:49oYVXneP0Cz1PY	Chromosome	880319	881014	+	696	162	42	50	274	386	102	195
ENSB:b1DaFLlqaUFxIE_	Chromosome	881032	881853	+	822	25	6	106	0	18	26	73
ENSB:Vs5lU_xVb0VvAU0	Chromosome	881996	883216	-	1221	1	0	1	0	0	0	1
ENSB:p4985k-OxkFgMcz	Chromosome	883304	884032	-	729	1	0	0	1	0	0	0
ENSB:a2Zz0zvMX046md3	Chromosome	884056	884784	-	729	1	0	0	0	0	0	0
ENSB:4tUIGu_4cM4CyMT	Chromosome	884801	885259	-	459	0	0	0	0	0	0	1
ENSB:2SpS5ZKJxrdXw1j	Chromosome	885271	885603	-	333	0	0	0	0	0	0	0
ENSB:srUXrA8jR-Z_hhH	Chromosome	885796	886059	+	264	0	2	0	1	0	0	0
ENSB:M0aHKwFSrmZLZ1H	Chromosome	886052	886324	+	273	0	0	8	0	0	0	0
ENSB:j8zA3wswpYg5V5b	Chromosome	886336	886509	+	174	1	0	0	0	0	0	0
ENSB:gGu8oT-QG1iUXHl	Chromosome	886476	886679	+	204	1	0	0	0	0	0	0
ENSB:AdampDdnaNMhaR-	Chromosome	886681	887064	+	384	7	0	0	0	0	0	0
ENSB:eMEU1QnVLkpRSVK	Chromosome	887065	887313	+	249	0	1	0	0	0	1	0
ENSB:e9TvAn_qiu0hMF5	Chromosome	887405	889777	+	2373	3	7	19	9	2	4	1
ENSB:r28SJ80tywfSt4J	Chromosome	890448	890792	+	345	1	0	0	0	0	0	0
ENSB:qKzYHHMoTRkpSYR	Chromosome	891017	891223	+	207	0	0	0	0	0	0	0
ENSB:1BfN8LjtoIreJBM	Chromosome	891210	892268	+	1059	0	0	7	0	0	0	1
ENSB:NwTgc_sC32R7mMK	Chromosome	892452	892943	+	492	1	1	4	0	1	2	1
ENSB:ntXgcMZRedJssSg	Chromosome	893372	894340	+	969	0	0	0	0	0	1	0
ENSB:2-TupiKImTYzyqJ	Chromosome	894575	895129	-	555	0	0	0	0	0	0	12
ENSB:0i9Cn7pvr7nciO0	Chromosome	896163	896357	+	195	8	0	0	4	2	483	0
ENSB:B-2oc5nWLlBJJOQ	Chromosome	896590	897441	-	852	52	16	34	32	68	56	106
ENSB:Cfpto-jEyPfmnGA	Chromosome	897769	898530	+	762	31	6	10	1	10	6	34
ENSB:w-Scjgay0-E58uN	Chromosome	898628	899935	+	1308	2974	470	565	293	1293	977	3797
ENSB:xCNgSQTMtZS0D-J	Chromosome	900050	901291	+	1242	16423	1941	1746	2730	5948	2440	13005
ENSB:fcjTOUHmCVVVLEY	Chromosome	901281	901745	+	465	1015	238	245	177	340	326	524
ENSB:MiHLSHHXVy-ZDdg	Chromosome	901896	903293	+	1398	5660	1118	1527	1093	5939	1044	4116
ENSB:1MbUwTMporMmgHL	Chromosome	903623	903937	-	315	0	6	6	0	0	0	1
ENSB:xzKzi6YzBbE6GEb	Chromosome	904302	905342	+	1041	483	129	122	44	231	167	240
ENSB:pO184MX-ieVl6OS	Chromosome	905356	906423	+	1068	626	612	36	176	868	1435	262
ENSB:_8bYS3hfnqOt3L1	Chromosome	906636	907484	+	849	36	1	24	0	18	2	29
ENSB:82RXY-4sbI-runa	Chromosome	907497	908324	+	828	409	133	4699	184	262	123	278
ENSB:mXui9x9WioOzl-b	Chromosome	908351	909670	+	1320	281	35	131	47	95	135	357
ENSB:V11oBWOBTK3swnw	Chromosome	909754	910671	+	918	1223	223	164	652	838	464	1172
ENSB:82jyZsoVGfpvugc	Chromosome	910801	911184	+	384	0	11	22	4	16	9	11
ENSB:ttcwriVvHcOF52D	Chromosome	911263	911529	-	267	0	0	4	0	0	0	6
ENSB:1uc_NOe4gdS6lWN	Chromosome	911627	912061	+	435	14	0	4	4	3	6	13
ENSB:PeMTdnQ74Vv8S9E	Chromosome	912061	912840	+	780	20	5	2	0	8	14	74
ENSB:e4gSGQEpkLt11F7	Chromosome	912873	913832	+	960	87	118	104	85	129	74	467
ENSB:lPYx6ZMl-ElEPTg	Chromosome	914244	914396	+	153	4	0	0	0	0	0	0
ENSB:0AyPLKYvnive562	Chromosome	914412	915869	+	1458	1318	287	718	328	739	531	1639
ENSB:EL0rogIIjrQQQOt	Chromosome	915866	917080	+	1215	538	209	498	149	476	233	625
ENSB:ka92s9Ga_QKme0L	Chromosome	917098	917334	+	237	433	147	201	130	440	231	338
ENSB:eC84ByeoePUfgwD	Chromosome	917331	918506	+	1176	511	218	452	141	358	172	565
ENSB:PBqxgRp1GAHixDF	Chromosome	918769	919011	-	243	14	4	0	2	14	5	302
ENSB:g7eai4hSjoddlkS	Chromosome	919112	919435	+	324	0	0	3	0	0	0	0
ENSB:BWvJo5BkIqZS7um	Chromosome	919494	920558	-	1065	1410	372	88	150	514	228	751
ENSB:KNm7_qMBAmryuU5	Chromosome	920875	921111	+	237	54	7	0	4	38	5	10
ENSB:3LU0FXfHHhICwBQ	Chromosome	921124	921483	+	360	199	47	126	96	200	109	370
ENSB:04kNf5kOlO2df1i	Chromosome	921937	923145	+	1209	422	66	306	246	248	172	726
ENSB:2t07aPXboez8ONU	Chromosome	923276	924751	+	1476	143	22	45	232	219	125	294
ENSB:yaAIdar6YuX9HZu	Chromosome	925162	926478	+	1317	1063	188	974	60	542	353	2419
ENSB:QfAM5wsn9uUJDbA	Chromosome	926497	926871	+	375	396	63	277	41	164	128	1183
ENSB:58Ix8ZZvjAW0YNI	Chromosome	926927	928081	-	1155	14	0	34	4	16	8	28
ENSB:Lzu-1ASRn2MPFED	Chromosome	928330	928686	-	357	91	7	83	34	105	48	388
ENSB:y_AqQv9gChSUaab	Chromosome	928664	928957	-	294	127	40	234	38	180	100	436
ENSB:UBJlNdCRE3Zef4H	Chromosome	928957	929436	-	480	172	58	315	72	138	114	730
ENSB:vNYL4mpiAXyNX5j	Chromosome	929438	930934	-	1497	690	143	543	459	599	408	1552
ENSB:iG7553Z_FCocDb-	Chromosome	930927	931268	-	342	345	38	101	169	311	136	504
ENSB:8bOhUzW7B_X46ch	Chromosome	931268	931696	-	429	155	25	68	16	125	77	348
ENSB:vXLnSy_Pziy9mDx	Chromosome	931689	934094	-	2406	1393	228	617	575	740	578	1893
ENSB:HzNdb53yrrxRdDp	Chromosome	934225	934608	-	384	6	12	0	10	11	8	48
ENSB:2CX480Y-E6-Fr85	Chromosome	934672	935265	+	594	140	26	8	73	124	56	107
ENSB:rXWz3Ovso_hxNNx	Chromosome	935681	936058	+	378	50	10	14	18	28	24	206
ENSB:wbgjQjZ9T3LXVYZ	Chromosome	936420	937547	+	1128	341	15	34	128	170	23	120
ENSB:5QhJF90nGUu6oG_	Chromosome	937855	939045	+	1191	8202	1036	977	4235	6315	2103	5888
ENSB:uHj_tvLygO8La2L	Chromosome	939154	940398	+	1245	73468	7320	26852	23551	35725	14143	50579
ENSB:HVqZCiAAT38iSJp	Chromosome	940901	941830	-	930	76	45	49	11	59	29	114
ENSB:fzWMFVr9FVYMoud	Chromosome	942072	943451	-	1380	2149	420	869	1212	1820	964	5184
ENSB:CZwlE1TU2dqK1DO	Chromosome	943441	944646	-	1206	668	126	263	268	620	453	1852
ENSB:0FG2_hqPOhEDAo7	Chromosome	944997	946328	+	1332	530	200	153	391	470	337	1633
ENSB:i9c1bSUJRWKOrQp	Chromosome	946653	947228	+	576	14	36	64	0	15	19	17
ENSB:aH0O3igREY0hvrc	Chromosome	947233	947757	+	525	23	45	57	0	38	13	30
ENSB:KLnV4DvPLQd-JGM	Chromosome	947773	948348	+	576	25	0	22	1	4	21	12
ENSB:Wd7dbahCOrCYTfK	Chromosome	948508	951984	+	3477	218	94	243	45	155	381	865
ENSB:dbRppA1yy9wiNuo	Chromosome	951985	955638	+	3654	1080	221	287	1028	988	982	1982
ENSB:JRkRhTktgNVE2Wv	Chromosome	955804	956706	+	903	595	86	130	154	300	306	671
ENSB:LI4qlntjBxjsUvE	Chromosome	957035	957424	+	390	0	0	0	12	6	0	5
ENSB:qNgf1KKawj8H0IQ	Chromosome	957595	958911	-	1317	2433	373	267	1356	3093	777	4067
ENSB:ePatQmlobGBLSZU	Chromosome	958963	959787	-	825	76	70	57	46	119	58	276
ENSB:ay8kYsGb7C0rgNq	Chromosome	959901	960209	+	309	1145	302	94	1444	1930	16	180
ENSB:SgEwCKszmDw1T7z	Chromosome	960756	962570	+	1815	22	0	0	0	4	2	11
ENSB:LLOX91wG12r__bF	Chromosome	962773	965382	+	2610	23576	1731	1322	3144	2826	815	10033
ENSB:W_-gj-FR5Bz6Ffg	Chromosome	965441	966310	-	870	4	0	10	7	6	1	1
ENSB:rjXdwmqpdUlZ-4O	Chromosome	966420	967565	+	1146	11	1	0	8	2	4	4
ENSB:_5sQP9l1OQ6PMVv	Chromosome	967549	968190	+	642	1	0	0	0	0	1	0
ENSB:4MtmBAgFARtO-oA	Chromosome	968183	969301	+	1119	0	1	0	2	0	0	0
ENSB:ISRL9eK3GTBYphF	Chromosome	969285	969800	+	516	5	0	2	5	0	0	5
ENSB:GyNMaPMmFs7lfoP	Chromosome	970111	970545	+	435	9	0	8	40	8	10	41
ENSB:VQ7bAoHwrkl2v53	Chromosome	970802	970987	-	186	16	8	8	10	4	0	132
ENSB:IxwbH1VbcYqHER9	Chromosome	971282	972223	+	942	50	14	160	30	15	14	286
ENSB:EeIxPnGzuJiD5qm	Chromosome	972235	973479	+	1245	449	66	94	223	258	130	1010
ENSB:Ry9jfhoOqWtBcLZ	Chromosome	973664	973906	-	243	0	0	0	0	0	0	0
ENSB:4retey_3eahgZuf	Chromosome	974149	975075	+	927	31	9	115	39	46	29	56
ENSB:B9Ddp2KA29D_xsP	Chromosome	975075	976145	+	1071	590	86	546	274	306	264	1112
ENSB:duIVQGobi9M7yUX	Chromosome	976162	977244	+	1083	566	60	710	200	155	140	1622
ENSB:R8LO2IjsN3EaVTb	Chromosome	977234	978175	+	942	519	152	186	418	650	504	163
ENSB:lNBqdOlNB2L_pI1	Chromosome	978194	979849	+	1656	284	100	180	262	394	203	588
ENSB:VVlKt8HbrgA6kdq	Chromosome	980061	981776	+	1716	0	1	0	2	5	1	3
ENSB:Y6YegQ2dVq5xsZ6	Chromosome	981827	982813	+	987	0	4	0	8	1	6	6
ENSB:ad0k-ZQ9SiBzGZJ	Chromosome	982816	983796	+	981	0	2	10	0	1	7	9
ENSB:ET4AhbRklRyZ886	Chromosome	983789	984751	+	963	0	0	5	4	2	0	0
ENSB:7S1LaPEyIXkvoFg	Chromosome	984763	985644	+	882	1	0	0	0	3	0	5
ENSB:nAjU9l3R9EcPGv-	Chromosome	985686	986675	-	990	116	18	12	38	90	50	188
ENSB:DykVPHBiqqOr40P	Chromosome	986970	987365	+	396	7623	3480	4596	6521	4906	7276	25456
ENSB:SLxpI8tjJq5ss2M	Chromosome	987736	988455	+	720	582	240	626	412	703	221	836
